apt_detail_id,apt_id,road_address,jibun_address,zip_code,code_sale_nm,code_heat_nm,total_household_cnt,total_building_cnt,highest_floor,use_approval_date,total_parking_cnt,builder_name,developer_name,manage_type,hallway_type,subway_time,subway_line,subway_station,educationfacility,geometry,created_at,updated_at,is_deleted
2995,2995,서울특별시 강남구 언주로 123,서울특별시 강남구 도곡동 464 도곡개포한신아파트,06298,분양,지역난방,620,8,9,1985-12-14,0,한신공영(주),한신공영,위탁관리,혼합식,5~10분이내,3호선,매봉,중학교(대치중학교) 고등학교(숙명여고),,,,f
2996,2996,서울특별시 강남구 언주로30길 56,서울특별시 강남구 도곡동 467 타워팰리스1차,06294,분양,지역난방,1297,4,66,2002-10-23,3630,삼성물산,삼성전자,위탁관리,복도식,5분이내,,,초등학교(개일초등학교) 중학교(대치중학교) 고등학교(숙명여고),,,,f
2997,2997,서울특별시 강남구 강남대로 240,서울특별시 강남구 도곡동 953-1 양재SK허브프리모,06267,분양,개별난방,176,1,20,2006-01-18,176,SK건설,SK건설,위탁관리,복도식,5분이내,"3호선, 신분당선",양재,초등학교(언주초등학교) 중학교(은광여자중학교) 고등학교(은광여자고등학교),,,,f
2998,2998,서울특별시 강남구 남부순환로363길 30,서울특별시 강남구 도곡동 902-8 도곡쌍용예가,06269,분양,지역난방,132,5,13,1978-12-26,355,쌍용건설(주),도곡동신아파트리모델링주택조합,위탁관리,계단식,5~10분이내,"3호선, 신분당선",양재역,"초등학교(언주초교) 중학교(은광여중교,도곡중교,대치중교) 고등학교(대치고교,은광여고교)",,,,f
2999,2999,서울특별시 강남구 선릉로 221,서울특별시 강남구 도곡동 527 도곡렉슬,06276,분양,지역난방,3002,34,25,2006-01-27,4435,"현대,쌍용,GS",도곡주공재건축조합,위탁관리,계단식,5분이내,수인선,한티,초등학교(대도초등학교) 중학교(숙명여중) 고등학교(숙명여고),,,,f
3000,3000,서울특별시 강남구 논현로 205,서울특별시 강남구 도곡동 895-8 도곡한신,06270,분양,지역난방,421,5,15,1988-07-16,0,(주)한신공영,(주)한신공영,위탁관리,혼합식,10~15분이내,3호선,양재,"초등학교(언주초등학교) 중학교(도곡중학교, 은광여자중학교) 고등학교(은광여자고등학교)",,,,f
3001,3001,서울특별시 강남구 남부순환로381길 15,서울특별시 강남구 도곡동 164-6 도곡동 포스코트 아파트,06274,분양,지역난방,64,1,17,2002-01-31,,포스코건설,포스코건설,위탁관리,계단식,5분이내,,,,,,,f
3002,3002,서울특별시 강남구 언주로 202,서울특별시 강남구 도곡동 91-5 도곡삼성래미안,06277,분양,지역난방,732,10,24,2001-12-01,1164,(주)삼성물산,(주)삼성물산,위탁관리,계단식,5~10분이내,"3호선, 분당선",,초등학교(대도) 중학교(숙명) 고등학교(숙명),,,,f
3003,3003,서울특별시 강남구 언주로29길 34,서울특별시 강남구 도곡동 463-1 개포우성5차,06297,분양,지역난방,180,4,9,1986-10-27,0,우성건설,우성건설,위탁관리,계단식,5~10분이내,3호선,매봉,중학교(대치중학교) 고등학교(숙명여고),,,,f
3004,3004,서울특별시 강남구 언주로30길 57,서울특별시 강남구 도곡동 467-17 타워팰리스2차,06293,분양,지역난방,813,2,55,2003-02-28,2276,삼성중공업,삼성중공업,위탁관리,혼합식,5분이내,"3호선, 분당선",도곡,중학교(대치중학교) 고등학교(숙명여고),,,,f
3005,3005,서울특별시 강남구 언주로30길 26,서울특별시 강남구 도곡동 467-29 타워팰리스G동,06294,분양,지역난방,480,1,69,2004-04-19,1266,삼성중공업,삼성생명,위탁관리,복도식,5분이내,"3호선, 분당선",도곡,초등학교(대도초) 중학교(대치중) 고등학교(숙명여고),,,,f
3006,3006,서울특별시 강남구 도곡로 320,서울특별시 강남구 도곡동 538 래미안도곡카운티,06275,혼합,지역난방,397,8,21,2016-09-02,510,삼성물산,삼성물산,자치관리,계단식,5분이내,분당선,한티역,"초등학교(대도초) 중학교(숙명여중) 고등학교(숙명여고,중대부속고)",,,,f
3007,3007,서울특별시 강남구 논현로 213,서울특별시 강남구 도곡동 963 역삼럭키,06262,분양,지역난방,1094,10,15,1995-12-28,419,럭키,럭키,위탁관리,혼합식,10~15분이내,3호선,,초등학교(언주초등학교) 중학교(은광여자중학교) 고등학교(은광여자고등학교),,,,f
3008,3008,서울특별시 강남구 도곡동 960 도곡대림,서울특별시 강남구 도곡동 960 도곡대림,06270,분양,개별난방,197,2,14,1992-11-19,47,대림건설,법무부 주택조합외 4개주택조합,자치관리,계단식,5~10분이내,"3호선, 신분당선",,"초등학교(언주초등학교) 중학교(은광여자중학교, 은성중학교) 고등학교(은광여자고등학교)",,,,f
3009,3009,서울특별시 강남구 도곡로18길 34,서울특별시 강남구 도곡동 961 도곡현대,06263,분양,지역난방,211,3,15,1994-12-30,79,현대산업개발,현대산업개발,위탁관리,복도식,10~15분이내,3호선,양재,초등학교(언주초등학교) 중학교(은광여자중학교) 고등학교(은광여자고등학교),,,,f
3010,3010,서울특별시 송파구 백제고분로7길 42,서울특별시 송파구 잠실동 187-10 잠실 센트럴파크,05559,임대,개별난방,217,1,15,2023-08-02,66,한일개발,제이제이앤주식회사,위탁관리,복도식,5분이내,2호선,,,,,,f
3011,3012,서울특별시 송파구 올림픽로 74,서울특별시 송파구 잠실동 175-4 월드메르디앙주상복합아파트,05556,분양,개별난방,96,2,15,2005-08-29,100,월드건설,(주)시우개발,위탁관리,계단식,5분이내,"2호선, 9호선",,초등학교() 중학교() 고등학교(),,,,f
3012,3013,서울특별시 송파구 잠실로 88,서울특별시 송파구 잠실동 44 잠실레이크팰리스,05607,분양,지역난방,2678,35,32,2006-12-28,4110,"삼성, gs","삼성물산건설부문, GS건설",위탁관리,계단식,5~10분이내,"2호선, 8호선",신천,초등학교(송전초등) 중학교(잠신중학) 고등학교(영동여고),,,,f
3013,3014,서울특별시 송파구 잠실로 62,서울특별시 송파구 잠실동 35 잠실동트리지움,05555,분양,지역난방,3696,46,32,2007-08-24,4686,"GS건설,현대건설,현대산업개발",잠실3단지 재건축조합,위탁관리,계단식,5분이내,2호선,신천,초등학교(잠전초등) 고등학교(영동여고),,,,f
3014,3015,서울특별시 송파구 올림픽로 135,서울특별시 송파구 잠실동 22 잠실리센츠,05502,분양,지역난방,5563,65,33,2008-07-31,7876,"우방,삼성,대우,대림","우방,삼성,대우,대림",위탁관리,혼합식,5분이내,,,,,,,f
3015,3016,서울특별시 송파구 올림픽로 99,서울특별시 송파구 잠실동 19 잠실엘스아파트,05501,분양,지역난방,5678,72,34,2008-09-30,7445,"대림,삼성,현대,현산",잠실1단지재건축조합,위탁관리,계단식,5분이내,2호선,,"초등학교(잠신초교,신천초교,잠일초교,잠동초교,송전초교) 중학교(잠신중교,신천중교,잠실중교) 고등학교(잠신고교,영동여고교)",,,,f
